id,branch_id,name,description,icon_name,created_at,updated_at,created_by,updated_by,deleted_at
091eaffd-3985-4dad-a2d1-864996d3c003,9482d0c5-1d4c-4189-8c98-45deba4320da,Locker Room,Locker Room available at this location,locker_room,2024-01-03 00:00:00,2024-01-03 00:00:00,,,
62de021a-15b0-44c9-a2a5-c2d66489acc6,9482d0c5-1d4c-4189-8c98-45deba4320da,Pro Shop,Pro Shop available at this location,pro_shop,2024-01-03 00:00:00,2024-01-03 00:00:00,,,
9e4882b3-7cf6-42c0-a850-daad28ee4009,9482d0c5-1d4c-4189-8c98-45deba4320da,Cafe,Cafe available at this location,cafe,2024-01-03 00:00:00,2024-01-03 00:00:00,,,
57ad58f8-6add-44a2-a850-72218bfb6382,9482d0c5-1d4c-4189-8c98-45deba4320da,WiFi,WiFi available at this location,wifi,2024-01-03 00:00:00,2024-01-03 00:00:00,,,
c6c6efd7-c40d-40b6-85b5-b1821e21c794,32854e5d-bab8-41b7-9b33-13bcf30260cf,Parking,Parking available at this location,parking,2024-01-04 00:00:00,2024-01-04 00:00:00,,,
31e259ed-26c4-4819-9417-9adb480766b4,32854e5d-bab8-41b7-9b33-13bcf30260cf,Locker Room,Locker Room available at this location,locker_room,2024-01-04 00:00:00,2024-01-04 00:00:00,,,
e820d175-406b-4749-838c-de4f7fbd3b41,32854e5d-bab8-41b7-9b33-13bcf30260cf,Pro Shop,Pro Shop available at this location,pro_shop,2024-01-04 00:00:00,2024-01-04 00:00:00,,,
74d333b7-3c73-4f1a-b0ac-80c2da3a289b,b200245d-aec6-421e-83b7-9f2968e76d78,Parking,Parking available at this location,parking,2024-01-04 00:00:00,2024-01-04 00:00:00,,,
f9595c96-7eaa-47a6-a95e-14594c478420,b200245d-aec6-421e-83b7-9f2968e76d78,Locker Room,Locker Room available at this location,locker_room,2024-01-04 00:00:00,2024-01-04 00:00:00,,,
a1817fc9-72f9-4a21-a10a-6da3ecf3add8,b200245d-aec6-421e-83b7-9f2968e76d78,Pro Shop,Pro Shop available at this location,pro_shop,2024-01-04 00:00:00,2024-01-04 00:00:00,,,
8e58d03c-59a1-40a8-8089-be0193f5a19d,b200245d-aec6-421e-83b7-9f2968e76d78,Cafe,Cafe available at this location,cafe,2024-01-04 00:00:00,2024-01-04 00:00:00,,,
42d11fb8-861b-42f4-9dd7-0aca821082da,0c0c761a-4d95-4133-937b-ebc79f524919,Parking,Parking available at this location,parking,2024-01-04 00:00:00,2024-01-04 00:00:00,,,
9d60fc20-d993-4b9b-8e5d-1fb245c48261,0c0c761a-4d95-4133-937b-ebc79f524919,Locker Room,Locker Room available at this location,locker_room,2024-01-04 00:00:00,2024-01-04 00:00:00,,,
561ae812-3363-4d4a-a28d-cefd48aa70b9,0c0c761a-4d95-4133-937b-ebc79f524919,Pro Shop,Pro Shop available at this location,pro_shop,2024-01-04 00:00:00,2024-01-04 00:00:00,,,
12b13a5c-77f6-412e-bda3-5150cfc9957d,0c0c761a-4d95-4133-937b-ebc79f524919,Cafe,Cafe available at this location,cafe,2024-01-04 00:00:00,2024-01-04 00:00:00,,,
e8a1ac15-ddad-4850-b641-a9bf34278720,0c0c761a-4d95-4133-937b-ebc79f524919,WiFi,WiFi available at this location,wifi,2024-01-04 00:00:00,2024-01-04 00:00:00,,,
e4930f56-3115-4510-8ddd-94135091e8cc,99ab617a-c78e-49ed-9ed9-9395d5dba4b5,Parking,Parking available at this location,parking,2024-01-04 00:00:00,2024-01-04 00:00:00,,,
e69cb668-4bfc-4210-8ab7-003f44535619,99ab617a-c78e-49ed-9ed9-9395d5dba4b5,Locker Room,Locker Room available at this location,locker_room,2024-01-04 00:00:00,2024-01-04 00:00:00,,,
2cb1ca0f-f8f8-4c1a-8f42-7537e936f22e,99ab617a-c78e-49ed-9ed9-9395d5dba4b5,Pro Shop,Pro Shop available at this location,pro_shop,2024-01-04 00:00:00,2024-01-04 00:00:00,,,
78e0f02d-fb09-4bc8-a026-36f6cd5895c9,77924470-8f96-4bbf-9117-47e749386a7c,Parking,Parking available at this location,parking,2024-01-05 00:00:00,2024-01-05 00:00:00,,,
c0438885-ef4c-40b1-8395-37fdfc49ac0a,77924470-8f96-4bbf-9117-47e749386a7c,Locker Room,Locker Room available at this location,locker_room,2024-01-05 00:00:00,2024-01-05 00:00:00,,,
770de316-6f9a-40b9-9862-456d589af55a,77924470-8f96-4bbf-9117-47e749386a7c,Pro Shop,Pro Shop available at this location,pro_shop,2024-01-05 00:00:00,2024-01-05 00:00:00,,,
090dcc8f-b7dd-4851-ab68-7934a603b4da,807b3d73-be68-42e0-9062-4d4cc0d226f4,Parking,Parking available at this location,parking,2024-01-05 00:00:00,2024-01-05 00:00:00,,,
c39b7790-5ea6-4030-9f33-4f69c55cc088,807b3d73-be68-42e0-9062-4d4cc0d226f4,Locker Room,Locker Room available at this location,locker_room,2024-01-05 00:00:00,2024-01-05 00:00:00,,,
ec41e80b-109f-4e6e-90bf-a2bab8ab47d0,807b3d73-be68-42e0-9062-4d4cc0d226f4,Pro Shop,Pro Shop available at this location,pro_shop,2024-01-05 00:00:00,2024-01-05 00:00:00,,,
a6ab5fd6-2f73-4f2b-aa66-ad87c7e98b66,807b3d73-be68-42e0-9062-4d4cc0d226f4,Cafe,Cafe available at this location,cafe,2024-01-05 00:00:00,2024-01-05 00:00:00,,,
fef7cbc5-1669-470d-b6cd-d5d94706c322,25b3e878-5f5e-4b2e-a404-a7eb2507e407,Parking,Parking available at this location,parking,2024-01-06 00:00:00,2024-01-06 00:00:00,,,
9acd8454-5a7d-416d-8311-e2f3979a343f,25b3e878-5f5e-4b2e-a404-a7eb2507e407,Locker Room,Locker Room available at this location,locker_room,2024-01-06 00:00:00,2024-01-06 00:00:00,,,
7b95bba8-7670-4e10-be35-c5670dcdead1,25b3e878-5f5e-4b2e-a404-a7eb2507e407,Pro Shop,Pro Shop available at this location,pro_shop,2024-01-06 00:00:00,2024-01-06 00:00:00,,,
4dfd6b77-7319-47fc-b300-654742c57a11,3b4fbdf4-13aa-4f83-8d90-3562412f43b1,Parking,Parking available at this location,parking,2024-01-06 00:00:00,2024-01-06 00:00:00,,,
9db5a187-a3be-44ed-a92b-55c3817899d4,3b4fbdf4-13aa-4f83-8d90-3562412f43b1,Locker Room,Locker Room available at this location,locker_room,2024-01-06 00:00:00,2024-01-06 00:00:00,,,
07e349d0-0300-4d52-992b-77f9d9864c38,3b4fbdf4-13aa-4f83-8d90-3562412f43b1,Pro Shop,Pro Shop available at this location,pro_shop,2024-01-06 00:00:00,2024-01-06 00:00:00,,,
43a33da3-6e1f-4579-9b46-f788a4439c44,3b4fbdf4-13aa-4f83-8d90-3562412f43b1,Cafe,Cafe available at this location,cafe,2024-01-06 00:00:00,2024-01-06 00:00:00,,,
3b839bd0-dae9-4f57-900a-fb86b8c6976f,86cbbf39-d3e3-4bee-ada9-0fa567bf5987,Parking,Parking available at this location,parking,2024-01-06 00:00:00,2024-01-06 00:00:00,,,
39dc0e14-a951-41d0-bc2e-0c474ca0050a,86cbbf39-d3e3-4bee-ada9-0fa567bf5987,Locker Room,Locker Room available at this location,locker_room,2024-01-06 00:00:00,2024-01-06 00:00:00,,,
2de21cf7-aa79-424f-bbf1-cf91f5d48919,86cbbf39-d3e3-4bee-ada9-0fa567bf5987,Pro Shop,Pro Shop available at this location,pro_shop,2024-01-06 00:00:00,2024-01-06 00:00:00,,,
9a4a0d0a-984e-4e0f-abcd-5c1ad18bfb90,86cbbf39-d3e3-4bee-ada9-0fa567bf5987,Cafe,Cafe available at this location,cafe,2024-01-06 00:00:00,2024-01-06 00:00:00,,,
45d138c7-7b84-4fcd-9b49-970a7db06b71,86cbbf39-d3e3-4bee-ada9-0fa567bf5987,WiFi,WiFi available at this location,wifi,2024-01-06 00:00:00,2024-01-06 00:00:00,,,
